regime,model,feature_group,mean_pr_auc,std_pr_auc,ci_lower,ci_upper,n_evaluations
temporal_cv,lightgbm,F,0.6644,0.0929,0.4898,0.7419,9
temporal_cv,lightgbm,G,0.6648,0.086,0.4799,0.7367,9
temporal_cv,lightgbm,H,0.675,0.0766,0.5131,0.7432,9
temporal_cv,random_forest,F,0.6795,0.0852,0.4969,0.741,9
temporal_cv,random_forest,G,0.6685,0.0928,0.4714,0.7405,9
temporal_cv,random_forest,H,0.6796,0.0849,0.4975,0.7467,9
lopo,lightgbm,F,0.6637,0.1614,0.2959,0.8738,48
lopo,lightgbm,G,0.6558,0.1642,0.2807,0.8764,48
lopo,lightgbm,H,0.6673,0.164,0.2805,0.8808,48
lopo,random_forest,F,0.6588,0.166,0.2836,0.8772,48
lopo,random_forest,G,0.654,0.164,0.2774,0.8695,48
lopo,random_forest,H,0.6635,0.1654,0.2703,0.8774,48
