repo,n_rows,n_positive,n_negative,prevalence_pct,pr_auc,ci_lower,ci_upper
requests,313,162,151,51.8,0.8925,0.8536,0.9276
lightgbm,221,139,82,62.9,0.8816,0.8264,0.924
tqdm,452,270,182,59.7,0.875,0.8342,0.9066
marshmallow,398,241,157,60.6,0.8651,0.8205,0.9034
mypy,843,502,341,59.5,0.8616,0.8344,0.8875
pydantic,588,343,245,58.3,0.8608,0.8206,0.8933
black,614,363,251,59.1,0.8586,0.8293,0.8858
gspread,363,208,155,57.3,0.8366,0.7916,0.8817
records,139,78,61,56.1,0.8154,0.7048,0.9174
loguru,588,339,249,57.7,0.8056,0.7545,0.8444
scikit-learn,536,324,212,60.4,0.8046,0.7542,0.8464
click,240,137,103,57.1,0.7989,0.7299,0.8601
sphinx,601,293,308,48.8,0.7987,0.7498,0.8433
xgboost,201,90,111,44.8,0.7797,0.6897,0.8466
gunicorn,491,287,204,58.5,0.7769,0.724,0.8248
sqlalchemy,931,442,489,47.5,0.7768,0.735,0.8145
jinja2,553,320,233,57.9,0.7688,0.7178,0.8222
aiohttp,362,216,146,59.7,0.7684,0.7031,0.8252
poetry,766,330,436,43.1,0.7259,0.676,0.7695
flask,311,132,179,42.4,0.7233,0.6466,0.7953
werkzeug,564,247,317,43.8,0.6992,0.6387,0.7546
boltons,494,225,269,45.5,0.6959,0.6341,0.7578
pytest,586,253,333,43.2,0.6909,0.6266,0.7504
colorama,188,68,120,36.2,0.6862,0.5605,0.8119
pylint,1003,400,603,39.9,0.6832,0.6323,0.7318
cattrs,559,264,295,47.2,0.6781,0.6156,0.7453
celery,660,276,384,41.8,0.664,0.6038,0.7236
arrow,498,270,228,54.2,0.6625,0.5992,0.7259
paramiko,450,231,219,51.3,0.6595,0.5993,0.7317
fastapi,287,60,227,20.9,0.6519,0.529,0.7628
pillow,165,69,96,41.8,0.6356,0.5199,0.7563
fabric,497,149,348,30.0,0.6054,0.513,0.6945
pip,486,172,314,35.4,0.5957,0.5204,0.674
schedule,192,92,100,47.9,0.5944,0.5,0.7004
tornado,823,305,518,37.1,0.5834,0.5227,0.64
tox,1040,456,584,43.8,0.5776,0.5339,0.6257
python-dotenv,315,114,201,36.2,0.5669,0.4769,0.6612
httpx,731,203,528,27.8,0.5188,0.4507,0.592
tenacity,400,184,216,46.0,0.5155,0.4486,0.5914
attrs,321,110,211,34.3,0.499,0.4125,0.5983
uvicorn,610,195,415,32.0,0.4884,0.4202,0.5622
backoff,248,65,183,26.2,0.442,0.3303,0.5669
scrapy,556,130,426,23.4,0.4055,0.3302,0.5056
typer,388,42,346,10.8,0.3849,0.242,0.5298
python-fire,677,169,508,25.0,0.3795,0.3156,0.4453
structlog,364,89,275,24.5,0.2824,0.2299,0.3459
ruff,192,38,154,19.8,0.2423,0.1551,0.3722
boto3,365,30,335,8.2,0.2291,0.0868,0.3837
