repo,n_rows,n_pos,n_neg,prevalence_pct,engine_b_pr_auc,engine_b_roc_auc,engine_b_brier,engine_b_lift,engine_b_prec20,engine_b_rec20,engine_a_pr_auc,engine_a_roc_auc,engine_a_brier,engine_a_lift,engine_a_prec20,engine_a_rec20
aiohttp,362,216,146,59.67,0.7765,0.7047,0.2203,0.1798,83.33,27.78,0.7347,0.6725,0.2282,0.138,77.78,25.93
arrow,498,270,228,54.22,0.6615,0.6754,0.222,0.1194,63.64,23.33,0.6684,0.679,0.2223,0.1262,60.61,22.22
attrs,321,110,211,34.27,0.503,0.6865,0.2101,0.1603,59.38,34.55,0.4902,0.6775,0.2077,0.1475,67.19,39.09
backoff,248,65,183,26.21,0.4521,0.6531,0.1823,0.19,46.94,35.38,0.3368,0.5836,0.1992,0.0747,46.94,35.38
black,614,363,251,59.12,0.8567,0.7712,0.2033,0.2655,97.54,32.78,0.8454,0.7552,0.216,0.2542,95.9,32.23
boltons,494,225,269,45.55,0.702,0.7452,0.2021,0.2466,70.41,30.67,0.6847,0.7451,0.2157,0.2292,69.39,30.22
boto3,365,30,335,8.22,0.3331,0.543,0.1621,0.2509,17.81,43.33,0.2627,0.424,0.1115,0.1805,12.33,30.0
cattrs,559,264,295,47.23,0.6753,0.7258,0.214,0.2031,73.87,31.06,0.6619,0.7246,0.2137,0.1896,69.37,29.17
celery,660,276,384,41.82,0.6573,0.7508,0.2008,0.2391,69.7,33.33,0.6006,0.7173,0.2112,0.1824,65.15,31.16
click,240,137,103,57.08,0.8029,0.7403,0.2049,0.2321,87.5,30.66,0.7608,0.7093,0.2155,0.1899,85.42,29.93
colorama,188,68,120,36.17,0.7347,0.8392,0.168,0.373,72.97,39.71,0.6011,0.7746,0.1924,0.2394,64.86,35.29
fabric,497,149,348,29.98,0.6078,0.7879,0.1728,0.308,67.68,44.97,0.5474,0.7244,0.1867,0.2476,58.59,38.93
fastapi,287,60,227,20.91,0.628,0.8404,0.1364,0.4189,57.89,55.0,0.6058,0.814,0.1333,0.3968,56.14,53.33
flask,311,132,179,42.44,0.721,0.7649,0.1939,0.2966,75.81,35.61,0.6478,0.7134,0.2106,0.2233,74.19,34.85
gspread,363,208,155,57.3,0.84,0.7743,0.2005,0.267,97.22,33.65,0.8106,0.773,0.1982,0.2376,88.89,30.77
gunicorn,491,287,204,58.45,0.7826,0.7339,0.2239,0.1981,82.65,28.22,0.6788,0.6074,0.2582,0.0943,71.43,24.39
httpx,731,203,528,27.77,0.5364,0.7501,0.2239,0.2587,66.44,47.78,0.5451,0.7754,0.1946,0.2674,59.59,42.86
jinja2,553,320,233,57.87,0.766,0.7132,0.2298,0.1874,80.91,27.81,0.7178,0.6679,0.2291,0.1391,76.36,26.25
lightgbm,221,139,82,62.9,0.8813,0.8183,0.1717,0.2523,93.18,29.5,0.8749,0.803,0.187,0.2459,95.45,30.22
loguru,588,339,249,57.65,0.7925,0.7699,0.2563,0.216,74.36,25.66,0.7498,0.7337,0.2389,0.1733,79.49,27.43
marshmallow,398,241,157,60.55,0.8635,0.7961,0.1884,0.2579,93.67,30.71,0.8383,0.7733,0.2003,0.2328,84.81,27.8
mypy,843,502,341,59.55,0.866,0.8046,0.184,0.2705,96.43,32.27,0.8561,0.7946,0.1885,0.2606,92.86,31.08
paramiko,450,231,219,51.33,0.6765,0.686,0.2396,0.1632,73.33,28.57,0.6722,0.6865,0.2282,0.1589,76.67,29.87
pillow,165,69,96,41.82,0.6415,0.7086,0.2212,0.2234,63.64,30.43,0.6296,0.6926,0.2218,0.2114,69.7,33.33
pip,486,172,314,35.39,0.5874,0.7392,0.2044,0.2335,68.04,38.37,0.5492,0.7068,0.206,0.1953,61.86,34.88
poetry,766,330,436,43.08,0.733,0.7759,0.1936,0.3022,78.43,36.36,0.7113,0.7625,0.1988,0.2805,76.47,35.45
pydantic,588,343,245,58.33,0.862,0.811,0.1838,0.2786,91.45,31.2,0.7968,0.744,0.2127,0.2135,86.32,29.45
pylint,1003,400,603,39.88,0.6846,0.7805,0.1878,0.2858,77.5,38.75,0.6783,0.7381,0.198,0.2794,74.0,37.0
pytest,586,253,333,43.17,0.6876,0.7716,0.1966,0.2558,70.94,32.81,0.6539,0.7424,0.2056,0.2222,67.52,31.23
python-dotenv,315,114,201,36.19,0.557,0.7539,0.1916,0.1951,60.32,33.33,0.6205,0.7715,0.1889,0.2586,65.08,35.96
python-fire,677,169,508,24.96,0.3754,0.6387,0.206,0.1258,33.33,26.63,0.3133,0.6208,0.2092,0.0637,37.78,30.18
records,139,78,61,56.12,0.8279,0.8274,0.1904,0.2667,85.19,29.49,0.7702,0.7971,0.1904,0.2091,70.37,24.36
requests,313,162,151,51.76,0.8938,0.8724,0.1613,0.3763,95.16,36.42,0.8066,0.7676,0.2098,0.289,91.94,35.19
ruff,192,38,154,19.79,0.273,0.5721,0.173,0.0751,31.58,31.58,0.2291,0.5304,0.1747,0.0312,28.95,28.95
schedule,192,92,100,47.92,0.5904,0.714,0.2023,0.1113,63.16,26.09,0.6945,0.7631,0.2113,0.2153,78.95,32.61
scikit-learn,536,324,212,60.45,0.8045,0.7416,0.2158,0.2001,85.05,28.09,0.7614,0.6915,0.2357,0.157,82.24,27.16
scrapy,556,130,426,23.38,0.4126,0.6915,0.1794,0.1788,45.95,39.23,0.3749,0.6656,0.1802,0.1411,45.05,38.46
sphinx,601,293,308,48.75,0.8024,0.825,0.1805,0.3148,84.17,34.47,0.7985,0.8125,0.1895,0.311,88.33,36.18
sqlalchemy,931,442,489,47.48,0.7795,0.8013,0.1849,0.3047,82.26,34.62,0.661,0.73,0.2108,0.1862,70.43,29.64
structlog,364,89,275,24.45,0.2931,0.629,0.2003,0.0486,23.61,19.1,0.2876,0.6124,0.2089,0.0431,23.61,19.1
tenacity,400,184,216,46.0,0.5166,0.5719,0.2617,0.0566,47.5,20.65,0.6324,0.6606,0.2358,0.1724,70.0,30.43
tornado,823,305,518,37.06,0.5839,0.7125,0.207,0.2133,61.59,33.11,0.5377,0.6762,0.2272,0.1671,56.1,30.16
tox,1040,456,584,43.85,0.5788,0.6645,0.2369,0.1403,61.54,28.07,0.5975,0.6716,0.2291,0.159,66.83,30.48
tqdm,452,270,182,59.73,0.8666,0.8074,0.2025,0.2693,96.67,32.22,0.8413,0.7681,0.2117,0.2439,87.78,29.26
typer,388,42,346,10.82,0.4115,0.79,0.1066,0.3032,33.77,61.9,0.3091,0.7002,0.1001,0.2008,35.06,64.29
uvicorn,610,195,415,31.97,0.5196,0.6943,0.2223,0.2,61.48,38.46,0.4853,0.6691,0.2214,0.1656,49.18,30.77
werkzeug,564,247,317,43.79,0.6983,0.7664,0.1965,0.2603,73.21,33.2,0.646,0.7481,0.2051,0.2081,69.64,31.58
xgboost,201,90,111,44.78,0.7829,0.7859,0.1957,0.3352,85.0,37.78,0.7475,0.7687,0.2017,0.2997,80.0,35.56
